timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.6463881417919296e+18,-4882.0,-2882.0,6517.0,frame_12780.jpeg
1.6463881418380664e+18,-4847.0,-2714.0,6342.0,frame_12781.jpeg
1.6463881418898053e+18,-4917.0,-2687.0,6362.0,frame_12782.jpeg
1.6463875083927762e+18,-8067.0,-1439.0,2602.0,frame_128.jpeg
1.6463875084479455e+18,-8120.0,-1441.0,2776.0,frame_129.jpeg
1.6463875084931937e+18,-7895.0,-1246.0,2617.0,frame_130.jpeg
1.6463875085436178e+18,-7855.0,-1281.0,2419.0,frame_131.jpeg
1.646387508601699e+18,-7819.0,-1301.0,2438.0,frame_132.jpeg
1.646387568119231e+18,-3898.0,-3416.0,5418.0,frame_1321.jpeg
1.6463875681675384e+18,-6593.0,-2251.0,4513.0,frame_1322.jpeg
