timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.646391214102752e+18,-84.0,6204.0,-7144.0,frame_12092.jpeg
1.6463912141496159e+18,-1341.0,7032.0,-6166.0,frame_12093.jpeg
1.6463912142020004e+18,-529.0,7043.0,-7470.0,frame_12094.jpeg
1.6463912142478922e+18,1275.0,3356.0,-5363.0,frame_12095.jpeg
1.6463912143033807e+18,2553.0,4575.0,-5633.0,frame_12096.jpeg
1.646391214352266e+18,1563.0,3593.0,-5488.0,frame_12097.jpeg
1.6463912144042826e+18,-2016.0,6682.0,-7169.0,frame_12098.jpeg
1.6463912144528576e+18,-913.0,6743.0,-6408.0,frame_12099.jpeg
1.6463906693319967e+18,-3228.0,619.0,-3656.0,frame_1210.jpeg
1.6463912145034893e+18,-238.0,7582.0,-6639.0,frame_12100.jpeg
1.6463912145514793e+18,1425.0,5270.0,-6027.0,frame_12101.jpeg
1.6463912146020872e+18,3149.0,2570.0,-3492.0,frame_12102.jpeg
1.6463912146544817e+18,2314.0,3368.0,-5741.0,frame_12103.jpeg
1.6463912146994888e+18,298.0,4600.0,-5056.0,frame_12104.jpeg
1.6463912147528942e+18,-383.0,7902.0,-7405.0,frame_12105.jpeg
1.646391214799862e+18,-1048.0,8268.0,-7047.0,frame_12106.jpeg
1.6463912148519145e+18,869.0,4459.0,-6174.0,frame_12107.jpeg
1.646391214899714e+18,2344.0,2645.0,-4510.0,frame_12108.jpeg
1.6463912149524188e+18,1228.0,4523.0,-6761.0,frame_12109.jpeg
1.6463906693700925e+18,-2745.0,-1043.0,-3023.0,frame_1211.jpeg
1.6463912149987581e+18,367.0,4704.0,-5937.0,frame_12110.jpeg
1.6463912150521106e+18,496.0,5084.0,-7521.0,frame_12111.jpeg
1.6463912151009254e+18,215.0,4731.0,-6483.0,frame_12112.jpeg
1.646391215154611e+18,1938.0,3723.0,-5500.0,frame_12113.jpeg
1.6463912152004068e+18,638.0,5370.0,-5264.0,frame_12114.jpeg
1.646391215254375e+18,1345.0,6979.0,-5462.0,frame_12115.jpeg
1.646391215302467e+18,2704.0,7413.0,-5740.0,frame_12116.jpeg
1.6463912153527864e+18,504.0,7440.0,-5450.0,frame_12117.jpeg
1.6463912154028334e+18,-1038.0,5517.0,-5015.0,frame_12118.jpeg
1.646391215453517e+18,1029.0,4007.0,-4983.0,frame_12119.jpeg
1.6463906694200538e+18,-3074.0,-994.0,-2569.0,frame_1212.jpeg
1.646391215501689e+18,-1158.0,5240.0,-4784.0,frame_12120.jpeg
1.6463912155534362e+18,832.0,5501.0,-5302.0,frame_12121.jpeg
1.6463912155996485e+18,758.0,5677.0,-5090.0,frame_12122.jpeg
1.6463912156557873e+18,-544.0,5891.0,-5372.0,frame_12123.jpeg
1.6463912157000333e+18,589.0,5416.0,-5538.0,frame_12124.jpeg
1.646391215752317e+18,187.0,5473.0,-6669.0,frame_12125.jpeg
1.6463912158038175e+18,821.0,5948.0,-7112.0,frame_12126.jpeg
1.6463912158537615e+18,27.0,6400.0,-6345.0,frame_12127.jpeg
1.6463912159031086e+18,1204.0,5844.0,-6000.0,frame_12128.jpeg
1.6463912159519465e+18,2028.0,3521.0,-5074.0,frame_12129.jpeg
