timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.6463942014643085e+18,6427.0,2698.0,4383.0,frame_6627.jpeg
1.6463942015438077e+18,6400.0,2686.0,4428.0,frame_6628.jpeg
1.6463942015711713e+18,6396.0,2652.0,4466.0,frame_6629.jpeg
1.6463942016107105e+18,6386.0,2580.0,4474.0,frame_6630.jpeg
1.6463942016523581e+18,6430.0,2509.0,4461.0,frame_6631.jpeg
1.6463942017396288e+18,6531.0,2386.0,4414.0,frame_6632.jpeg
1.646394201792593e+18,6645.0,2310.0,4352.0,frame_6633.jpeg
1.646394201792593e+18,6645.0,2310.0,4352.0,frame_6634.jpeg
1.6463942018756444e+18,6667.0,2290.0,4317.0,frame_6635.jpeg
1.6463942019001843e+18,6712.0,2272.0,4295.0,frame_6636.jpeg
1.6463942019593923e+18,6780.0,2259.0,4259.0,frame_6637.jpeg
1.6463942020182013e+18,6813.0,2272.0,4226.0,frame_6638.jpeg
1.6463942020952302e+18,6532.0,2420.0,4352.0,frame_6639.jpeg
1.646394202146831e+18,6269.0,2422.0,4411.0,frame_6640.jpeg
1.6463942021753667e+18,6375.0,2501.0,4509.0,frame_6641.jpeg
1.646394202224396e+18,6654.0,2462.0,4176.0,frame_6642.jpeg
1.646394202274739e+18,6551.0,2330.0,3868.0,frame_6643.jpeg
1.6463942023298575e+18,6819.0,2482.0,4002.0,frame_6644.jpeg
1.6463942023677847e+18,6894.0,2581.0,4105.0,frame_6645.jpeg
1.6463942024002532e+18,6919.0,2628.0,4208.0,frame_6646.jpeg
1.6463942024816637e+18,6897.0,2651.0,4334.0,frame_6647.jpeg
